season,week_num,celebrity_name,week_avg_score,est_fan_vote_mu,final_status,eliminated_week,sim_score,sim_placement,universe,judge_weight_applied,cum_avg_tech_score,cum_avg_fan_vote,max_rank_this_week,is_simulated_loser
1,1,Evander Holyfield,6.0,0.2248195970701154,Eliminated,3.0,-6.0,2,RANK,0.5,6.0,0.2248195970701154,4,False
1,1,Joey Mcintyre,6.666666666666667,0.025478595621750914,Finalist,4.0,-6.0,2,RANK,0.5,6.666666666666667,0.025478595621750914,4,False
1,1,John O'Hurley,6.666666666666667,0.025466372108340393,RunnerUp,4.0,-7.0,4,RANK,0.5,6.666666666666667,0.025466372108340393,4,True
1,1,Kelly Monaco,4.333333333333333,0.4751460792113644,Winner,4.0,-7.0,4,RANK,0.5,4.333333333333333,0.4751460792113644,4,True
1,1,Rachel Hunter,6.666666666666667,0.025695828328873398,Eliminated,4.0,-5.0,1,RANK,0.5,6.666666666666667,0.025695828328873398,4,False
1,1,Trista Sutter,6.0,0.22339352765955514,Eliminated,2.0,-7.0,4,RANK,0.5,6.0,0.22339352765955514,4,True
1,2,Evander Holyfield,4.666666666666667,0.21545314884173417,Eliminated,3.0,-8.0,5,RANK,0.5,5.333333333333334,0.21545314884173417,6,False
1,2,Joey Mcintyre,7.0,0.15456189728735778,Finalist,4.0,-6.0,1,RANK,0.5,6.833333333333334,0.15456189728735778,6,False
1,2,John O'Hurley,8.666666666666666,0.06548266623877573,RunnerUp,4.0,-7.0,4,RANK,0.5,7.666666666666666,0.06548266623877573,6,False
1,2,Kelly Monaco,5.666666666666667,0.3506094736004816,Winner,4.0,-6.0,1,RANK,0.5,5.0,0.3506094736004816,6,False
1,2,Rachel Hunter,8.0,0.11825307693587835,Eliminated,4.0,-6.0,1,RANK,0.5,7.333333333333334,0.11825307693587835,6,False
1,2,Trista Sutter,6.333333333333333,0.09563973709577236,Eliminated,2.0,-9.0,6,RANK,0.5,6.166666666666666,0.09563973709577236,6,True
1,3,Evander Holyfield,4.333333333333333,0.1756433790094354,Eliminated,3.0,-7.0,5,RANK,0.5,5.0,0.1756433790094354,5,True
1,3,Joey Mcintyre,7.333333333333333,0.14759181229706209,Finalist,4.0,-6.0,2,RANK,0.5,7.0,0.14759181229706209,5,False
1,3,John O'Hurley,8.0,0.10158083875088454,RunnerUp,4.0,-6.0,2,RANK,0.5,7.777777777777779,0.10158083875088454,5,False
1,3,Kelly Monaco,7.0,0.487943846866851,Winner,4.0,-5.0,1,RANK,0.5,5.666666666666667,0.487943846866851,5,False
1,3,Rachel Hunter,8.666666666666666,0.08724012307577268,Eliminated,4.0,-6.0,2,RANK,0.5,7.777777777777779,0.08724012307577268,5,False
1,4,Joey Mcintyre,6.666666666666667,0.32080424035403077,Finalist,4.0,-6.0,2,RANK,0.5,6.916666666666667,0.32080424035403077,2,True
1,4,John O'Hurley,7.0,0.24025414875813506,RunnerUp,4.0,-6.0,2,RANK,0.5,7.583333333333334,0.24025414875813506,2,True
1,4,Kelly Monaco,8.666666666666666,0.3208186375409111,Winner,4.0,-2.0,1,RANK,0.5,6.416666666666666,0.3208186375409111,2,False
1,4,Rachel Hunter,8.333333333333334,0.11812297334692479,Eliminated,4.0,-6.0,2,RANK,0.5,7.916666666666667,0.11812297334692479,2,True
1,1,Evander Holyfield,6.0,0.2248195970701154,Eliminated,3.0,0.3899572117444694,2,PERCENT,0.5,6.0,0.2248195970701154,6,False
1,1,Joey Mcintyre,6.666666666666667,0.025478595621750914,Finalist,4.0,0.20896483414881095,5,PERCENT,0.5,6.666666666666667,0.025478595621750914,6,False
1,1,John O'Hurley,6.666666666666667,0.025466372108340393,RunnerUp,4.0,0.20895261063540044,6,PERCENT,0.5,6.666666666666667,0.025466372108340393,6,True
1,1,Kelly Monaco,4.333333333333333,0.4751460792113644,Winner,4.0,0.5944121342539535,1,PERCENT,0.5,4.333333333333333,0.4751460792113644,6,False
1,1,Rachel Hunter,6.666666666666667,0.025695828328873398,Eliminated,4.0,0.20918206685593344,4,PERCENT,0.5,6.666666666666667,0.025695828328873398,6,False
1,1,Trista Sutter,6.0,0.22339352765955514,Eliminated,2.0,0.3885311423339092,3,PERCENT,0.5,6.0,0.22339352765955514,6,False
1,2,Evander Holyfield,4.666666666666667,0.21545314884173417,Eliminated,3.0,0.3311556281777085,2,PERCENT,0.5,5.333333333333334,0.21545314884173417,6,False
1,2,Joey Mcintyre,7.0,0.15456189728735778,Finalist,4.0,0.32811561629131925,3,PERCENT,0.5,6.833333333333334,0.15456189728735778,6,False
1,2,John O'Hurley,8.666666666666666,0.06548266623877573,RunnerUp,4.0,0.2803586992912995,5,PERCENT,0.5,7.666666666666666,0.06548266623877573,6,False
1,2,Kelly Monaco,5.666666666666667,0.3506094736004816,Winner,4.0,0.4911053413655933,1,PERCENT,0.5,5.0,0.3506094736004816,6,False
1,2,Rachel Hunter,8.0,0.11825307693587835,Eliminated,4.0,0.3166001843689772,4,PERCENT,0.5,7.333333333333334,0.11825307693587835,6,False
1,2,Trista Sutter,6.333333333333333,0.09563973709577236,Eliminated,2.0,0.2526645304803089,6,PERCENT,0.5,6.166666666666666,0.09563973709577236,6,True
1,3,Evander Holyfield,4.333333333333333,0.1756433790094354,Eliminated,3.0,0.29828488843992673,5,PERCENT,0.5,5.0,0.1756433790094354,5,True
