season,week_num,celebrity_name,week_avg_score,week_z_sum,judge_count,signal_clarity,tech_rank,celebrity_industry,celebrity_age_during_season,final_status,eliminated_week,placement,ballroom_partner,had_bottom_two_record
1,1,Evander Holyfield,6.0,0.0,3,1.0,4.0,Athlete,42,Eliminated,3.0,5,Edyta Sliwinska,0
1,1,Joey Mcintyre,6.666666666666667,2.6978,3,0.5773502691896258,1.0,Singer/Rapper,32,Finalist,4.0,3,Ashly Delgrosso,0
1,1,John O'Hurley,6.666666666666667,2.6978,3,0.5773502691896258,1.0,Actor/Actress,50,RunnerUp,4.0,2,Charlotte Jorgensen,0
1,1,Kelly Monaco,4.333333333333333,-6.7445,3,0.5773502691896257,6.0,Actor/Actress,29,Winner,4.0,1,Alec Mazo,0
1,1,Rachel Hunter,6.666666666666667,2.6978,3,0.5773502691896257,1.0,Model,35,Eliminated,4.0,4,Jonathan Roberts,0
1,1,Trista Sutter,6.0,0.0,3,0.0,4.0,Tv Personality,32,Eliminated,2.0,6,Louis Van Amstel,0
1,2,Evander Holyfield,4.666666666666667,-3.7094749999999994,3,0.5773502691896257,6.0,Athlete,42,Eliminated,3.0,5,Edyta Sliwinska,0
1,2,Joey Mcintyre,7.0,1.0116749999999999,3,1.0,3.0,Singer/Rapper,32,Finalist,4.0,3,Ashly Delgrosso,0
1,2,John O'Hurley,8.666666666666666,4.383925,3,0.5773502691896258,1.0,Actor/Actress,50,RunnerUp,4.0,2,Charlotte Jorgensen,0
1,2,Kelly Monaco,5.666666666666667,-1.6861249999999999,3,0.5773502691896257,5.0,Actor/Actress,29,Winner,4.0,1,Alec Mazo,0
1,2,Rachel Hunter,8.0,3.0350249999999996,3,0.0,2.0,Model,35,Eliminated,4.0,4,Jonathan Roberts,0
1,2,Trista Sutter,6.333333333333333,-0.337225,3,0.5773502691896257,4.0,Tv Personality,32,Eliminated,2.0,6,Louis Van Amstel,0
1,3,Evander Holyfield,4.333333333333333,-7.194133333333333,3,0.5773502691896257,5.0,Athlete,42,Eliminated,3.0,5,Edyta Sliwinska,0
1,3,Joey Mcintyre,7.333333333333333,0.8992666666666665,3,0.5773502691896258,3.0,Singer/Rapper,32,Finalist,4.0,3,Ashly Delgrosso,0
1,3,John O'Hurley,8.0,2.6977999999999995,3,1.0,2.0,Actor/Actress,50,RunnerUp,4.0,2,Charlotte Jorgensen,0
1,3,Kelly Monaco,7.0,0.0,3,1.0,4.0,Actor/Actress,29,Winner,4.0,1,Alec Mazo,0
1,3,Rachel Hunter,8.666666666666666,4.496333333333332,3,0.5773502691896258,1.0,Model,35,Eliminated,4.0,4,Jonathan Roberts,0
1,4,Joey Mcintyre,6.666666666666667,-1.686125,3,0.5773502691896257,4.0,Singer/Rapper,32,Finalist,4.0,3,Ashly Delgrosso,0
1,4,John O'Hurley,7.0,-1.0116749999999999,3,1.0,3.0,Actor/Actress,50,RunnerUp,4.0,2,Charlotte Jorgensen,0
1,4,Kelly Monaco,8.666666666666666,2.360575,3,0.5773502691896255,1.0,Actor/Actress,29,Winner,4.0,1,Alec Mazo,0
1,4,Rachel Hunter,8.333333333333334,1.6861249999999997,3,1.1547005383792515,2.0,Model,35,Eliminated,4.0,4,Jonathan Roberts,0
2,1,Drew Lachey,8.0,1.4715272727272726,3,0.0,1.0,Singer/Rapper,29,Winner,7.0,1,Cheryl Burke,0
2,1,George Hamilton,6.0,-1.4715272727272726,3,1.0,8.0,Actor/Actress,66,Eliminated,6.0,5,Edyta Sliwinska,0
2,1,Giselle Fernandez,7.666666666666667,0.9810181818181817,3,0.5773502691896257,2.0,News Anchor,44,Eliminated,3.0,8,Jonathan Roberts,0
2,1,Jerry Rice,7.0,0.0,3,0.0,5.0,Athlete,43,RunnerUp,7.0,2,Anna Trebunskaya,0
2,1,Kenny Mayne,4.333333333333333,-3.9240727272727267,3,0.5773502691896257,9.0,Sports Broadcaster,46,Eliminated,1.0,10,Andrea Hale,0
2,1,Lisa Rinna,6.333333333333333,-0.9810181818181817,3,1.1547005383792517,7.0,Actor/Actress,42,Eliminated,7.0,4,Louis Van Amstel,0
2,1,Master P,4.0,-4.4145818181818175,3,0.0,10.0,Singer/Rapper,35,Eliminated,4.0,7,Ashly Delgrosso,0
2,1,Stacy Keibler,7.333333333333333,0.49050909090909084,3,1.1547005383792517,4.0,Athlete,26,Finalist,7.0,3,Tony Dovolani,0
2,1,Tatum O'Neal,7.666666666666667,0.9810181818181817,3,0.5773502691896257,2.0,Actor/Actress,42,Eliminated,2.0,9,Nick Kosovich,0
2,1,Tia Carrere,6.666666666666667,-0.49050909090909084,3,0.5773502691896257,6.0,Actor/Actress,39,Eliminated,5.0,6,Maksim Chmerkoskiy,0
2,2,Drew Lachey,9.0,5.395599999999999,3,0.0,2.0,Singer/Rapper,29,Winner,7.0,1,Cheryl Burke,0
2,2,George Hamilton,7.333333333333333,0.8992666666666665,3,0.5773502691896257,5.0,Actor/Actress,66,Eliminated,6.0,5,Edyta Sliwinska,0
