season,week_num,celebrity_name,week_avg_score,week_z_sum,judge_count,tech_rank,had_bottom_two_record,celebrity_industry,celebrity_age_during_season,final_status,eliminated_week,placement,ballroom_partner,industry_group,age_group,ind_Baseline,age_GenZ,age_Millennial,age_GenX,age_Boomer,score_delta,cum_avg_score,score_volatility,relative_rank,n_competitors,signal_strength,partner_alpha
9,1,Aaron Carter,10.666633333333332,3.57066735668087,3,2.0,0,Singer/Rapper,21,Eliminated,8.0,5,Karina Smirnoff,Baseline,GenZ,1,1,0,0,0,0.0,10.666633333333332,0.0,0.9375,16,0.7859138369788743,0.7499999998875
9,2,Aaron Carter,9.0,8.093399999999999,3,1.0,0,Singer/Rapper,21,Eliminated,8.0,5,Karina Smirnoff,Baseline,GenZ,1,1,0,0,0,-1.6666333333333316,9.833316666666665,1.1784877317515379,0.9642857142857143,14,0.4556015122439362,0.7499999998875
9,3,Aaron Carter,7.0,4.0466999999999995,3,4.0,0,Singer/Rapper,21,Eliminated,8.0,5,Karina Smirnoff,Baseline,GenZ,1,1,0,0,0,-2.0,8.888877777777777,1.835840709724424,0.7307692307692307,13,0.5708475093633384,0.7499999998875
9,4,Aaron Carter,6.0,-4.0466999999999995,3,8.0,0,Singer/Rapper,21,Eliminated,8.0,5,Karina Smirnoff,Baseline,GenZ,1,1,0,0,0,-1.0,8.166658333333332,2.0816526554772654,0.36363636363636365,11,0.6760139186794596,0.7499999998875
9,5,Aaron Carter,8.0,0.0,3,4.0,0,Singer/Rapper,21,Eliminated,8.0,5,Karina Smirnoff,Baseline,GenZ,1,1,0,0,0,2.0,8.133326666666665,1.8043041133787707,0.6,10,0.3666588158943709,0.7499999998875
9,6,Aaron Carter,10.999933333333333,1.4281434415091692,3,3.0,0,Singer/Rapper,21,Eliminated,8.0,5,Karina Smirnoff,Baseline,GenZ,1,1,0,0,0,2.999933333333333,8.611094444444445,1.9934851300525769,0.7777777777777778,9,0.7538076457857609,0.7499999998875
9,7,Aaron Carter,8.833333333333334,1.3489,3,2.0,0,Singer/Rapper,21,Eliminated,8.0,5,Karina Smirnoff,Baseline,GenZ,1,1,0,0,0,-2.166599999999999,8.642842857142856,1.821732198141656,0.8571428571428571,7,0.3024082953907326,0.7499999998875
9,8,Aaron Carter,8.333333333333334,-1.3489,3,4.0,0,Singer/Rapper,21,Eliminated,8.0,5,Karina Smirnoff,Baseline,GenZ,1,1,0,0,0,-0.5,8.604154166666667,1.6901424638870315,0.3,5,0.2789227982655418,0.7499999998875
6,1,Adam Carolla,5.0,-4.0466999999999995,3,11.0,0,Radio Personality,43,Eliminated,4.0,9,Julianne Hough,Baseline,GenX,1,0,0,1,0,0.0,5.0,0.0,0.125,12,0.5700360697074371,4.999999995
6,2,Adam Carolla,6.333333333333333,-1.3489,3,9.0,0,Radio Personality,43,Eliminated,4.0,9,Julianne Hough,Baseline,GenX,1,0,0,1,0,1.333333333333333,5.666666666666666,0.9428090415820635,0.3333333333333333,12,0.6209750281031806,4.999999995
